City,Country,Lat,Lng,Current Temp (°F),Min Temp (°F),Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date (unix)
maple creek,CA,-7.3,27.42,70.43,70.43,70.43,74,10,3.47,1588029942
atbasar,KZ,53.9,27.57,33.8,33.8,33.8,74,81,3.91,1588029770
camden,US,61.95,159.23,27.16,27.16,27.16,88,39,2.95,1588029943
santa rosa,AR,-43.3,-65.1,59.25,59.25,59.25,81,59,16.37,1588029699
sept-iles,CA,65.75,150.85,32.04,32.04,32.04,97,99,5.64,1588029943
apatity,RU,45.87,25.78,39.31,36,44.01,64,4,2.17,1588029943
yibin,CN,51.55,-9.27,48.2,48.2,48.2,81,75,3.36,1588029944
bam,IR,6.54,21.99,71.82,71.82,71.82,79,100,3.89,1588029944
dakar,SN,32.38,15.09,66.47,66.47,66.47,68,21,6.71,1588029945
melnik,CZ,-6.12,141.29,79.77,79.77,79.77,89,70,2.33,1588029784
vilyuysk,RU,32.03,51.88,50.16,50.16,50.16,22,0,2.13,1588029945
santa luzia,BR,62.88,152.43,26.2,26.2,26.2,91,37,2.51,1588029945
yuryevets,RU,5.66,-53.78,77.09,77.09,77.09,81,91,9.33,1588029946
sanica,BA,-19.55,169.27,80.6,80.6,80.6,69,75,6.93,1588029946
meulaboh,ID,67.45,153.68,32.38,32.38,32.38,98,100,1.66,1588029946
vila do maio,CV,57.16,10.29,39,39,39,93,16,5.37,1588029946
hohhot,CN,12.25,75.1,79.66,79.66,79.66,82,0,5.79,1588029946
sailana,IN,69.38,178.42,28.02,28.02,28.02,88,2,2.64,1588029947
aklavik,CA,-8.77,160.7,86.05,86.05,86.05,67,35,2.17,1588029947
kuche,CN,65.58,-171,20.17,20.17,20.17,92,0,7.07,1588029947
kavaratti,IN,60.87,60.42,33.91,33.91,33.91,93,100,2.84,1588029947
makubetsu,JP,61.35,16.39,36,36,36,74,93,7.76,1588029947
bacolod,PH,-9.66,120.26,78.22,78.22,78.22,80,57,6.64,1588029963
montgomery,US,70.37,31.11,26.6,26.6,26.6,73,75,13.87,1588029963
rungata,KI,64.5,-165.41,24.89,24.8,25,85,90,6.93,1588029963
adrar,DZ,52.37,-106.97,60.6,60.01,61,36,75,11.41,1588029963
itarema,BR,21.46,-71.14,79.34,79.34,79.34,78,3,14.32,1588029964
kabinda,CD,-29.95,-71.34,62.6,62.6,62.6,82,40,5.82,1588029964
taltal,CL,-5.95,34.13,59.7,59.7,59.7,62,23,7.31,1588029964
lalmohan,BD,37.46,-122.43,69.49,60.8,75.99,77,1,16.11,1588029964
saint-pierre,RE,29.37,-94.97,77.32,75.99,79,68,88,3,1588029879
nemuro,JP,-21.37,55.62,71.6,71.6,71.6,78,90,8.05,1588029965
reutte,AT,50.63,-96.99,60.46,59,61,36,43,4.21,1588029965
flinders,AU,52.67,34.36,36.88,36.88,36.88,83,33,6.58,1588029966
makakilo city,US,3.28,32.89,67.77,67.77,67.77,71,99,1.72,1588029966
pangoa,PE,32.87,59.22,59,59,59,54,63,3.53,1588029966
tromso,NO,39.51,54.37,56.44,56.44,56.44,62,0,4.74,1588029966
deputatskiy,RU,17.49,44.13,78.8,78.8,78.8,34,40,1.88,1588029967
okha,RU,9.49,50.81,83.17,83.17,83.17,76,0,11.68,1588029967
havoysund,NO,38.8,-77.05,56.66,54,59,41,40,12.75,1588029925
imphal,IN,29.11,21.29,74.98,74.98,74.98,41,0,14.56,1588029968
nurota,UZ,-34.58,150.86,70,70,70,75,25,7,1588029968
dolbeau,CA,48.75,-86.43,44.1,44.1,44.1,73,79,8.95,1588029968
shakawe,BW,39.16,23.49,61,61,61,49,0,4,1588029969
katherine,AU,57.79,36.7,33.13,33.13,33.13,87,83,6.46,1588029969
marawi,SD,-18.95,-57.8,78.08,78.08,78.08,47,22,4.7,1588029969
bocanda,CI,58.81,-122.7,53.6,53.6,53.6,40,75,3.2,1588029969
venustiano carranza,MX,31.6,-94.63,78.94,78.01,80.6,51,20,16.11,1588029891
khandyga,RU,-6.47,16.82,71.04,71.04,71.04,80,32,1.01,1588029970
pimentel,PE,66.5,25.72,28.4,28.4,28.4,74,99,11.41,1588029970
coihaique,CL,45.78,-108.5,63.75,62.6,64.99,36,40,24.16,1588029785
oparino,RU,65.97,78.37,29.59,29.59,29.59,97,100,3.13,1588029970
malchin,DE,-17.53,-149.33,87.8,87.8,87.8,66,7,19.46,1588029971
dudinka,RU,48.68,71.64,66.07,66.07,66.07,43,10,13.82,1588029971
linxia,CN,50.2,-66.38,38.73,37,41,41,20,4.7,1588029971
erzin,RU,61.47,-6.81,41.99,41.99,41.99,73,70,22.08,1588029972
bur gabo,SO,-35.26,174.12,64.78,63,66,85,100,8.99,1588029972
kashan,IR,-9.56,-48.4,74.93,74.93,74.93,84,2,4.05,1588029972
lompoc,US,-0.9,-89.62,80.6,80.6,80.6,78,75,12.75,1588029972
sovetskiy,RU,59.7,150.17,30.45,30.45,30.45,93,43,1.36,1588029972
vikhorevka,RU,11.28,-15.83,78.01,78.01,78.01,71,19,13.02,1588029973
vanavara,RU,52.52,99.83,44.26,44.26,44.26,51,97,2.98,1588029973
redlands,US,-15.74,-43.03,66.24,66.24,66.24,62,0,7.52,1588029973
mweka,CD,47.2,-121.99,60.22,59,63,52,61,8.01,1588029974
bowling green,US,6.39,-0.38,72.3,72.3,72.3,79,28,4.14,1588029974
amboasary,MG,34.05,-79.67,71.73,69.8,73.4,23,1,6.93,1588029974
port augusta,AU,48.74,-0.57,53.6,53.6,53.6,93,90,3.36,1588029974
beni suef,EG,-6.88,112.21,78.06,78.06,78.06,85,100,5.95,1588029975
uvalde,US,45.12,23.13,46.69,46.69,46.69,61,4,2.06,1588029975
ciudad real,ES,29.04,67.82,91.33,91.33,91.33,17,13,4.85,1588029975
smolensk,RU,54.43,31.9,34.99,34.99,34.99,81,29,5.97,1588029975
haileybury,CA,-35.57,138.62,57,57,57,95,99,11.83,1588029976
diamantino,BR,-19.12,33.48,66.2,66.2,66.2,100,75,0.25,1588029991
mezhdurechensk,RU,51.13,9.55,44.76,41,46.99,65,40,3.36,1588029991
ahipara,NZ,34.38,-86.33,67.05,64.99,69.01,29,1,4.7,1588029991
victoria point,AU,-15.2,12.15,75.04,75.04,75.04,57,0,5.48,1588029991
lakselv,NO,35.13,140.3,57.18,55,60.01,68,58,1.01,1588029992
alvand,IR,42.73,133.08,43.03,43.03,43.03,72,55,4.61,1588029992
karema,TZ,39.05,-27.98,57.61,57.61,57.61,75,95,20.2,1588029992
jequie,BR,15.17,44.32,63.23,63.23,63.23,31,97,4.54,1588029992
itupiranga,BR,61.36,63.58,38.05,38.05,38.05,90,100,6.58,1588029993
quelimane,MZ,-25.17,45.05,63.16,63.16,63.16,73,8,10.47,1588029993
kholodnyy,RU,65.28,-126.83,30.2,30.2,30.2,50,75,11.41,1588029993
san carlos del zulia,VE,42.87,132.68,44.65,44.65,44.65,67,62,1.05,1588029994
bay roberts,CA,50.63,81.91,56.28,56.28,56.28,66,60,4.47,1588029994
san juan,PH,54.78,-127.17,51.8,51.8,51.8,43,75,12.75,1588029994
nicoya,CR,18.65,-74.12,80.91,80.91,80.91,78,43,7.11,1588029994
port macquarie,AU,42.96,126.75,51.48,51.48,51.48,41,100,12.88,1588029908
newport,US,32.38,-64.68,71.35,71.01,71.6,94,75,24.16,1588029995
alice springs,AU,41.28,-70.1,41.99,41,42.8,38,90,25.28,1588029995
novikovo,RU,49.7,37.17,38.82,38.82,38.82,77,0,7.67,1588029995
aflu,DZ,-23.49,-58.8,81.19,81.19,81.19,35,0,8.19,1588029996
hays,US,12.58,-1.3,93.2,93.2,93.2,36,58,6.93,1588029996
baykit,RU,28.5,-13.86,68,68,68,72,9,6.93,1588029996
nouadhibou,MR,53.96,105.88,43.72,43.72,43.72,52,43,1.34,1588029997
amga,RU,28.62,-81.44,74.61,72,78.01,47,1,14.99,1588029997
comodoro rivadavia,AR,-23.7,133.88,71.6,71.6,71.6,43,11,4.7,1588029812
severo-kurilsk,RU,61.67,96.37,39.97,39.97,39.97,78,100,2.86,1588029997
mokhsogollokh,RU,60.92,-46.05,37.4,37.4,37.4,64,50,1.12,1588029998
ketchikan,US,36.26,2.75,60.8,60.8,60.8,87,40,8.05,1588029998
yerbogachen,RU,70.47,-68.59,10.4,10.4,10.4,85,75,4.7,1588029999
kachug,RU,20.01,110.35,68,68,68,94,100,2.24,1588029999
mwense,ZM,-7.05,113.93,81.66,81.66,81.66,78,98,8.97,1588029999
kinsale,IE,52.91,87.31,51.03,51.03,51.03,81,56,3.11,1588030000
namie,JP,18.69,12.92,89.11,89.11,89.11,10,10,5.46,1588030000
wanning,CN,0.05,18.26,69.98,69.98,69.98,88,85,3.2,1588030000
miraflores,CO,19.22,-104.7,78.8,78.8,78.8,83,5,11.41,1588030000
provideniya,RU,60.12,64.78,44.53,44.53,44.53,79,71,3.27,1588030001
bengkulu,ID,24.09,32.91,84.52,84.52,84.52,15,6,9.33,1588030001
campoverde,PE,60.37,93.04,43.32,43.32,43.32,56,82,5.91,1588030001
nawa,SY,20.52,-13.05,80.91,80.91,80.91,16,54,5.91,1588030001
cidreira,BR,65.85,44.24,25.79,25.79,25.79,98,15,3.87,1588030002
pullman,US,-14.19,-75.71,72,72,72,73,1,11.99,1588030002
tura,RU,-3.77,-70.38,80.6,80.6,80.6,94,75,1.92,1588030002
latur,IN,-12.93,34.3,71.08,71.08,71.08,60,1,5.37,1588030002
deloraine,CA,-21.67,45.17,69.73,69.73,69.73,65,0,3.96,1588030003
diu,IN,-26.65,15.16,66.2,66.2,66.2,68,0,8.05,1588030003
sao pedro,BR,-11.74,24.43,59,59,59,59,65,3.42,1588030003
san rafael,AR,51.26,-80.61,50,50,50,25,1,10.29,1588030003
cairo,EG,63.75,-68.51,17.29,17.01,17.6,78,40,4.7,1588030003
forio,IT,69.65,18.96,32,32,32,93,75,5.82,1588030004
nador,MA,40.71,0.58,56.01,55,57,66,83,14,1588030004
anloga,GH,-1.57,9.26,77.9,77.9,77.9,88,99,4.03,1588030019
mitsamiouli,KM,-7.28,-76.8,76.14,76.14,76.14,73,72,0.92,1588030019
gore,ET,10.62,104.18,77,77,77,88,40,3.36,1588030020
victor harbor,AU,57.31,88.17,45.52,45.52,45.52,54,41,2.89,1588030020
takoradi,GH,16.78,94.73,76.1,76.1,76.1,84,91,4.05,1588030020
tilichiki,RU,21.44,-157.84,81.05,75,84.2,65,20,14.99,1588029949
san cristobal,EC,-4.95,39.75,78.82,78.82,78.82,87,100,9.98,1588030021
road town,VG,24.8,125.28,72.34,71.6,73.4,73,40,13.87,1588030021
lima,PE,-36.62,-64.28,60.85,60.85,60.85,92,100,7.31,1588030021
sulangan,PH,53.87,-1.91,44.35,43,45,73,51,1.01,1588030022
iranshahr,IR,22.2,92.23,70.43,70.43,70.43,93,10,2.62,1588030022
marfino,RU,42.81,10.31,62.31,61,64,97,98,3,1588030022
saleaula,WS,-3.1,-60.02,80.6,80.6,80.6,94,20,4.7,1588030022
haines junction,CA,-5.79,-35.21,77.94,77,78.8,88,20,4.7,1588029820
lata,SB,-14.45,-56.8,75.38,75.38,75.38,70,32,3.15,1588030023
phan thiet,VN,0.52,29.32,65.37,65.37,65.37,74,100,1.03,1588030023
wuan,CN,66.32,-179.17,15.33,15.33,15.33,93,74,4.07,1588030024
gharo,PK,30.19,116.03,58.68,58.68,58.68,55,2,5.08,1588030024
sayyan,YE,60.82,-115.8,44.6,44.6,44.6,52,75,17.22,1588030024
yingshang,CN,65.7,82.47,27.37,27.37,27.37,98,98,7.94,1588030024
saint-francois,GP,14.11,-15.55,89.6,89.6,89.6,33,86,6.93,1588029906
rocha,UY,-15.77,128.73,78.8,78.8,78.8,69,26,3.36,1588030025
mehamn,NO,-31.43,-62.08,68.74,68,69.01,93,96,4,1588030025
sedelnikovo,RU,42.05,-82.61,51.06,48.99,54,100,65,12.24,1588030025
bandiagara,ML,65.42,-52.9,32.07,32.07,32.07,93,91,8.16,1588029928
bonthe,SL,59.4,9.97,38.23,34,39.99,21,93,3,1588030026
goya,AR,31.65,-106.3,92.52,91.4,93.2,8,75,13.87,1588029781
anadyr,RU,14.97,8.89,83.97,83.97,83.97,11,10,4.34,1588030026
wuwei,CN,67.54,133.38,24.98,24.98,24.98,90,83,6.11,1588030027
labutta,MM,-40.81,-63,58.86,58.86,58.86,91,100,11.3,1588030027
kazalinsk,KZ,43.41,-124.22,59.9,57.99,63,93,90,14.99,1588030028
yantal,RU,35.25,136.25,55.94,55,57,71,10,1.01,1588030028
asfi,MA,-20.28,44.28,77.65,77.65,77.65,65,3,4.85,1588030028
ubinskoye,RU,15.12,108.8,72.97,72.97,72.97,89,98,5.23,1588030028
la plata,AR,41.62,48.35,47.39,47.39,47.39,56,59,6.69,1588030029
antalaha,MG,18.22,-63.06,79.86,79,80.6,69,40,9.17,1588030029
srednekolymsk,RU,51.23,-58.65,33.6,33.6,33.6,87,5,6.69,1588030029
voh,NC,54.32,-130.32,50,50,50,76,75,9.17,1588030029
ilia,RO,41.17,75.81,46,46,46,74,0,1.01,1588030030
suihua,CN,-12.93,-64.87,76.3,76.3,76.3,82,67,1.92,1588030030
halalo,WF,-0.22,20.87,70.29,70.29,70.29,89,93,0.49,1588030030
olinda,BR,-10.13,-36.18,77.88,77.88,77.88,85,92,6.55,1588030030
chelno-vershiny,RU,-5.12,-60.38,76.75,76.75,76.75,95,95,0.78,1588030030
warmbad,NA,43.48,-5.44,52.72,52,54,89,91,3.38,1588030031
katsuura,JP,-23.53,148.17,73.22,73,73.4,56,53,8.05,1588029875
alto araguaia,BR,-5.36,104.97,72.23,72.23,72.23,89,98,3.69,1588030031
aleksandriya,RU,7.04,134.26,77,77,77,94,90,5.82,1588030031
sorland,NO,-16.7,-151.02,83.75,83.75,83.75,77,0,16.35,1588030032
tiarei,PF,42.17,-71.25,37.87,37,39,95,100,1.01,1588030032
batemans bay,AU,40.25,-76.25,48.22,46.99,50,57,40,13.87,1588030032
port keats,AU,54.48,53.47,43.59,43.59,43.59,88,38,4.03,1588030047
raymond,US,30.48,-115.95,70.03,70.03,70.03,66,3,12.93,1588030048
karasjok,NO,38.8,-9.45,57.29,55,57.99,83,4,6.98,1588030048
shimoda,JP,49.92,-109.48,64.45,64.45,64.45,26,18,21.23,1588030048
cambridge,US,-4.85,21.57,69.28,69.28,69.28,85,86,0.87,1588030049
vidim,RU,68.82,-51.19,30.2,30.2,30.2,100,64,8.05,1588030049
senador guiomard,BR,26.0,63.04,78.6,78.6,78.6,69,0,0.74,1588030049
araguacu,BR,59.45,26.87,34.52,34.52,34.52,84,33,4.43,1588030049
waingapu,ID,16.6,-22.9,71.6,71.6,71.6,78,75,12.75,1588030049
strezhevoy,RU,-21.03,-41.65,62.89,62.89,62.89,83,3,3.2,1588030050
gonen,TR,-16.16,33.59,68.36,68.36,68.36,88,29,4.9,1588030050
lahij,YE,3.08,-59.95,88.86,88.86,88.86,47,95,4.81,1588030050
cukai,MY,39.47,3.15,61.32,59,64.4,88,75,4.7,1588030050
fort nelson,CA,22.08,85.67,73.2,73.2,73.2,66,74,2.21,1588030050
santa helena de goias,BR,-2.23,-80.85,80.6,80.6,80.6,74,54,6.93,1588030051
carballo,ES,64.84,-147.72,44.42,42.8,45,33,1,6.93,1588029854
deep river,CA,-8.58,116.12,73.4,73.4,73.4,100,20,4.83,1588030051
robertsport,LR,-8.19,114.97,80.6,80.6,80.6,94,20,3.36,1588030051
punta alta,AR,56.85,105.25,45.25,45.25,45.25,50,30,0.74,1588030052
sondrio,IT,31.45,74.93,69.73,68,71.6,82,20,2.24,1588030052
san julian,BO,16.18,-22.92,71.6,71.6,71.6,78,75,12.75,1588030052
sumbawa,ID,-33.8,19.89,55.08,55.08,55.08,79,69,3.74,1588030052
margate,ZA,66.53,66.6,26.47,26.47,26.47,97,93,2.24,1588030053
chemax,MX,45.05,7.35,55.85,54,57.99,96,100,1.99,1588030053
mujiayingzi,CN,53.14,-1.56,46.99,46.99,46.99,42,84,5.88,1588030053
eureka,US,51.8,68.33,56.7,56.7,56.7,89,100,4.09,1588030054
torit,SD,-21.7,-57.88,78.93,78.93,78.93,42,4,5.53,1588030054
mwinilunga,ZM,18.04,-71.74,82.31,82.31,82.31,65,63,5.41,1588030054
san carlos de bariloche,AR,-17.71,-39.25,74.98,74.98,74.98,80,2,8.61,1588030054
vallenar,CL,-7.84,-79.15,72.43,72.43,72.43,68,74,8.28,1588030055
nieves,MX,60.75,-137.51,44.04,44.04,44.04,51,98,1.07,1588030055
hokitika,NZ,56.6,25.26,33.01,33.01,33.01,87,86,4.68,1588030055
usinsk,RU,13.07,-59.53,80.6,80.6,80.6,69,20,21.92,1588030055
uglich,RU,70.86,29.09,26.83,26.83,26.83,92,100,8.97,1588030056
california,CO,62.53,155.8,26.02,26.02,26.02,84,5,3.13,1588030056
bolungarvik,IS,68.53,146.42,24.01,24.01,24.01,96,100,11.07,1588030056
la paz,MX,41.12,-100.77,81.86,81,82.4,21,20,6.93,1588029857
dien bien,VN,-6.13,12.37,79.83,79.83,79.83,86,61,9.42,1588030056
grindavik,IS,52.96,4.76,48.61,48,50,81,90,5.82,1588030057
north bend,US,53.31,17.94,49.3,46.99,51.8,70,62,3.36,1588030057
touros,BR,32.3,-9.24,63.45,63.45,63.45,82,0,5.77,1588029847
genhe,CN,36.62,101.77,46.35,46.35,46.35,19,0,2.28,1588030057
glace bay,CA,35.0,132.22,53.6,53.6,53.6,66,16,6.93,1588030058
richards bay,ZA,5.56,95.32,79.81,79.81,79.81,76,97,7.4,1588030058
umm lajj,SA,15.44,119.9,82.53,82.53,82.53,71,71,4.25,1588030058
hay river,CA,37.05,140.88,53.2,50,55,49,55,1.99,1588030058
saryozek,KZ,41.63,48.68,49.28,49.28,49.28,76,31,9.46,1588030059
smolenka,RU,42.78,-9.06,53.19,51.01,55,82,39,8.99,1588030059
mentok,ID,65.98,60.31,26.8,26.8,26.8,92,87,5.3,1588030060
chunskiy,RU,26.73,33.94,71.6,71.6,71.6,53,0,4.7,1588030060
ribeira brava,PT,-33.27,115.72,54,54,54,70,25,9.04,1588030075
dubbo,AU,21.35,-158.09,83.46,78.8,86,48,40,11.41,1588030075
ostrovnoy,RU,50.72,136.63,44.67,44.67,44.67,58,60,1.72,1588030076
carutapera,BR,-21.76,-52.12,70.48,70.48,70.48,65,0,7.87,1588029962
moron,MN,-20.73,139.5,78.8,78.8,78.8,36,0,12.75,1588030076
durango,US,61.73,130.28,35.6,35.6,35.6,51,73,13.42,1588030077
tiruvottiyur,IN,-22.67,167.48,75.13,75.13,75.13,76,14,26.04,1588030077
